,tot_price
481,30854.0
482,48281.0
483,24510.0
484,33440.0
485,14025.0
486,29195.0
487,16635.0
488,24140.0
489,36195.0
490,20120.0
491,20120.0
492,22195.0
493,22155.0
494,23140.0
495,19135.0
496,41135.0
497,24140.0
498,38140.0
499,33555.0
500,23142.0
501,15025.0
502,12025.0
503,13025.0
504,28135.0
505,30135.0
506,23522.0
507,26195.0
508,19025.0
509,21140.0
510,24140.0
511,14640.0
512,31140.0
513,26635.0
514,34404.0
515,35276.0
516,50559.0
517,22195.0
518,17120.0
519,15025.0
520,31135.0
521,18635.0
522,18635.0
523,26635.0
524,60140.0
525,25140.0
526,29635.0
527,17515.0
528,21140.0
529,14525.0
530,59140.0
531,20140.0
532,33785.0
533,54084.0
534,30864.0
535,30342.0
536,27167.0
537,37705.0
538,50135.0
539,12495.0
540,15140.0
541,24725.0
542,13995.0
543,19640.0
544,18140.0
545,20025.0
546,30873.0
547,19120.0
548,14025.0
549,18640.0
550,35230.0
551,20140.0
552,13525.0
553,17025.0
554,14120.0
555,26140.0
556,26140.0
557,10995.0
558,49140.0
559,34230.0
560,12328.0
561,16028.0
562,19148.0
563,22140.0
564,29230.0
565,16025.0
566,14005.0
567,14140.0
568,18659.0
569,27643.0
570,16143.0
571,13998.0
572,25143.0
573,14025.0
574,19140.0
575,23140.0
576,17640.0
577,22140.0
578,17025.0
579,23140.0
580,20230.0
581,15525.0
582,26148.0
583,14650.0
584,19155.0
585,40140.0
586,14025.0
587,18155.0
588,22140.0
589,15525.0
590,20155.0
591,12995.0
592,13025.0
593,31940.0
594,40140.0
595,49295.0
596,21640.0
597,13518.0
598,15018.0
599,17143.0
600,15528.0
601,14005.0
602,10385.0
603,37650.0
604,11500.0
605,24705.0
606,21765.0
607,16205.0
608,12140.0
609,39045.0
610,24643.0
611,20120.0
612,15025.0
613,30140.0
614,24140.0
615,16025.0
616,14140.0
617,39140.0
618,19140.0
619,36140.0
620,19140.0
621,20140.0
622,35140.0
623,24140.0
624,38140.0
625,36140.0
626,35140.0
627,16643.0
628,26640.0
629,22195.0
630,53140.0
631,31140.0
632,70140.0
633,52140.0
634,22140.0
635,23140.0
636,20090.0
637,23090.0
638,23020.0
639,13995.0
640,61140.0
641,39140.0
642,43140.0
643,29140.0
644,37140.0
645,35140.0
646,38640.0
647,43640.0
648,35140.0
649,36140.0
650,21620.0
